Seed, Runtime(s), ecmin
3, 118.10, 3387
1, 119.91, 3378
4, 124.55, 3384
2, 126.05, 3393
6, 118.63, 3396
8, 120.15, 3393
7, 120.25, 3384
5, 125.07, 3384
12, 118.69, 3396
9, 118.93, 3375
10, 118.98, 3378
11, 119.57, 3372
13, 115.52, 3381
14, 117.18, 3390
16, 118.35, 3384
15, 118.64, 3390
20, 110.63, 3387
17, 111.92, 3390
19, 113.49, 3381
18, 114.00, 3396
22, 113.69, 3384
23, 115.04, 3390
24, 116.52, 3396
21, 117.37, 3387
25, 110.55, 3381
27, 110.57, 3381
26, 111.83, 3375
28, 115.97, 3393
30, 86.33, 3387
29, 88.16, 3390
