Seed, Runtime(s), ecmin
3, 119.19, 3273
1, 120.08, 3264
4, 120.12, 3273
2, 121.05, 3258
5, 121.77, 3270
8, 122.81, 3279
7, 123.77, 3261
6, 125.09, 3267
11, 110.41, 3267
9, 111.05, 3282
10, 111.70, 3270
12, 112.54, 3267
14, 106.58, 3273
16, 109.14, 3282
13, 109.48, 3276
15, 111.92, 3267
17, 118.92, 3264
20, 120.62, 3267
19, 123.43, 3258
18, 123.54, 3252
24, 116.56, 3267
22, 116.91, 3276
23, 119.17, 3276
21, 120.17, 3276
26, 106.65, 3276
27, 111.52, 3276
25, 114.09, 3279
28, 115.08, 3273
30, 83.21, 3285
29, 88.85, 3261
