Seed, Runtime(s), ecmin
3, 14.89, 1062.00
1, 15.54, 1065.00
2, 16.03, 1062.00
6, 15.81, 1065.00
5, 15.97, 1056.00
4, 16.24, 1062.00
9, 15.20, 1062.00
7, 15.66, 1065.00
8, 15.99, 1065.00
12, 15.43, 1056.00
10, 15.65, 1062.00
11, 16.73, 1062.00
15, 16.40, 1059.00
14, 16.66, 1065.00
13, 16.93, 1062.00
16, 14.83, 1062.00
17, 15.48, 1065.00
18, 19.16, 1050.00
21, 15.78, 1059.00
20, 16.44, 1056.00
19, 16.86, 1056.00
24, 14.29, 1062.00
22, 14.65, 1065.00
23, 15.44, 1062.00
26, 16.69, 1059.00
27, 16.74, 1062.00
25, 18.03, 1056.00
28, 14.90, 1062.00
30, 16.05, 1065.00
29, 16.48, 1059.00
