Seed, Runtime(s), mecmin
5, 126.41, 20.00
3, 129.44, 23.00
4, 131.75, 24.00
2, 134.09, 24.00
1, 139.08, 21.00
6, 141.09, 26.00
11, 132.00, 21.00
8, 134.05, 20.00
10, 134.20, 18.00
12, 135.52, 20.00
7, 138.11, 21.00
9, 138.62, 21.00
18, 130.88, 24.00
14, 131.05, 27.00
15, 136.82, 20.00
13, 137.61, 21.00
16, 140.55, 23.00
17, 140.96, 20.00
24, 125.14, 24.00
21, 130.83, 24.00
19, 132.03, 25.00
20, 132.08, 26.00
22, 132.57, 21.00
23, 142.06, 21.00
29, 140.72, 27.00
27, 142.84, 21.00
30, 147.11, 21.00
28, 148.00, 24.00
26, 149.28, 21.00
25, 151.53, 21.00
