Seed, Runtime(s), melmax
1, 12.09, 74.00
4, 12.18, 74.00
3, 12.54, 74.00
2, 12.61, 74.00
8, 10.51, 74.00
6, 12.50, 74.00
7, 13.46, 73.00
5, 14.10, 73.00
9, 12.71, 74.00
10, 12.86, 76.00
12, 13.03, 76.00
11, 13.49, 73.00
13, 12.51, 76.00
16, 12.82, 74.00
15, 13.12, 73.00
14, 13.29, 73.00
18, 13.85, 74.00
17, 14.46, 73.00
20, 14.62, 73.00
19, 15.19, 76.00
24, 11.56, 74.00
21, 12.30, 74.00
23, 13.36, 76.00
22, 14.50, 73.00
26, 12.27, 76.00
28, 13.16, 74.00
25, 13.79, 74.00
27, 14.04, 74.00
29, 9.59, 74.00
30, 9.93, 74.00
