Seed, Runtime(s), ecmin
2, 104.94, 2724
1, 107.39, 2736
6, 107.82, 2733
4, 108.52, 2727
3, 108.64, 2736
5, 112.06, 2733
9, 114.54, 2733
7, 115.12, 2733
8, 116.00, 2733
12, 116.30, 2721
10, 116.86, 2730
11, 117.16, 2733
14, 102.91, 2739
16, 102.93, 2721
13, 104.45, 2724
17, 104.51, 2721
15, 105.28, 2733
18, 105.99, 2715
20, 96.19, 2724
19, 97.87, 2718
24, 98.67, 2736
22, 99.87, 2727
23, 100.72, 2733
21, 101.53, 2721
30, 101.17, 2730
26, 101.34, 2721
28, 102.74, 2724
29, 102.91, 2730
27, 103.65, 2727
25, 105.23, 2730
