Seed, Runtime(s), mecmin
5, 35.43, 22.00
6, 36.92, 21.00
4, 37.44, 24.00
1, 38.22, 24.00
2, 38.91, 21.00
3, 40.99, 21.00
10, 36.77, 23.00
9, 36.95, 24.00
12, 37.77, 24.00
8, 38.08, 21.00
11, 38.43, 24.00
7, 38.81, 21.00
18, 35.24, 21.00
17, 36.79, 21.00
16, 36.95, 21.00
15, 37.00, 24.00
13, 38.01, 21.00
14, 38.45, 21.00
19, 33.44, 24.00
24, 33.88, 24.00
21, 34.07, 21.00
22, 34.12, 24.00
23, 35.67, 23.00
20, 37.99, 24.00
28, 34.59, 24.00
27, 35.15, 21.00
25, 35.32, 21.00
30, 35.41, 24.00
26, 35.68, 24.00
29, 35.85, 21.00
