Seed, Runtime(s), melmax
6, 159.55, 307.00
4, 164.36, 305.00
2, 164.90, 305.00
1, 165.84, 305.00
3, 166.91, 305.00
5, 167.50, 307.00
10, 161.40, 305.00
12, 162.81, 305.00
11, 165.62, 305.00
7, 172.03, 305.00
9, 172.87, 305.00
8, 173.54, 303.00
18, 176.14, 305.00
13, 181.14, 304.00
16, 181.19, 303.00
17, 186.82, 306.00
14, 189.02, 307.00
15, 205.41, 306.00
20, 185.84, 303.00
23, 189.18, 301.00
22, 200.88, 305.00
21, 201.49, 302.00
19, 201.68, 306.00
24, 206.89, 305.00
26, 191.64, 305.00
25, 195.66, 308.00
30, 196.68, 305.00
29, 205.89, 305.00
27, 209.05, 303.00
28, 209.31, 305.00
