Seed, Runtime(s), ecmin
3, 35.21, 228.00
5, 35.36, 227.00
4, 36.25, 228.00
6, 37.39, 228.00
2, 38.78, 227.00
1, 39.54, 227.00
8, 36.20, 227.00
10, 36.80, 227.00
12, 37.05, 228.00
11, 37.25, 227.00
9, 37.94, 228.00
7, 39.72, 228.00
17, 35.56, 227.00
16, 37.26, 229.00
14, 37.44, 228.00
18, 37.58, 228.00
13, 37.63, 228.00
15, 40.42, 229.00
23, 39.92, 229.00
19, 40.07, 229.00
22, 40.06, 229.00
20, 40.19, 228.00
24, 41.38, 226.00
21, 41.78, 226.00
26, 38.76, 228.00
27, 38.79, 228.00
25, 38.93, 229.00
28, 39.43, 229.00
30, 40.72, 228.00
29, 41.69, 226.00
