Seed, Runtime(s), ecmin
3, 82.38, 2331.00
2, 82.56, 2328.00
1, 83.34, 2316.00
5, 80.49, 2322.00
6, 81.75, 2310.00
4, 81.90, 2322.00
7, 80.13, 2316.00
9, 83.23, 2325.00
8, 86.02, 2325.00
10, 80.89, 2313.00
11, 81.18, 2319.00
12, 83.50, 2325.00
14, 84.02, 2328.00
15, 84.30, 2319.00
13, 84.51, 2316.00
17, 82.55, 2328.00
18, 84.59, 2316.00
16, 86.49, 2319.00
21, 86.26, 2322.00
19, 86.48, 2325.00
20, 87.50, 2313.00
24, 81.56, 2313.00
22, 82.70, 2328.00
23, 84.08, 2325.00
25, 77.29, 2325.00
26, 81.05, 2325.00
27, 83.75, 2313.00
28, 80.73, 2322.00
30, 83.29, 2322.00
29, 87.18, 2319.00
