Seed, Runtime(s), ecmin
1, 42.62, 1404.00
6, 42.60, 1401.00
4, 43.24, 1401.00
3, 43.35, 1407.00
2, 44.18, 1392.00
5, 44.88, 1398.00
10, 43.16, 1398.00
7, 43.83, 1401.00
11, 44.49, 1407.00
9, 44.57, 1398.00
12, 44.91, 1398.00
8, 45.94, 1395.00
15, 43.80, 1401.00
14, 44.22, 1401.00
13, 44.52, 1395.00
16, 44.86, 1401.00
17, 44.87, 1395.00
18, 46.07, 1404.00
24, 42.99, 1401.00
21, 45.09, 1398.00
23, 45.62, 1398.00
19, 46.56, 1401.00
22, 47.26, 1395.00
20, 47.72, 1401.00
27, 47.60, 1398.00
29, 48.86, 1407.00
26, 49.94, 1395.00
28, 50.17, 1398.00
25, 51.30, 1395.00
30, 51.60, 1395.00
