Seed, Runtime(s), mecmin
3, 170.74, 23.00
5, 176.64, 23.00
8, 179.03, 23.00
4, 181.70, 20.00
2, 182.79, 23.00
7, 183.91, 21.00
1, 187.08, 23.00
6, 190.97, 23.00
13, 174.89, 23.00
10, 176.08, 23.00
11, 176.85, 23.00
14, 177.19, 23.00
12, 179.02, 22.00
9, 183.05, 23.00
16, 182.92, 21.00
15, 183.33, 23.00
18, 164.54, 23.00
19, 169.17, 23.00
21, 170.45, 23.00
23, 173.19, 23.00
20, 174.84, 23.00
24, 174.83, 23.00
22, 180.31, 23.00
17, 180.56, 23.00
28, 130.14, 23.00
27, 130.95, 23.00
29, 133.29, 23.00
25, 137.00, 23.00
26, 143.09, 23.00
30, 147.86, 23.00
