Seed, Runtime(s), melmax
1, 27.64, 185.00
6, 28.97, 185.00
2, 29.71, 185.00
4, 29.93, 185.00
3, 30.66, 185.00
5, 31.99, 185.00
7, 28.57, 183.00
8, 28.58, 185.00
11, 28.89, 185.00
10, 29.29, 185.00
9, 29.77, 185.00
12, 30.48, 185.00
14, 27.80, 185.00
13, 29.21, 185.00
16, 30.26, 185.00
15, 30.32, 185.00
17, 30.79, 185.00
18, 30.69, 185.00
21, 28.60, 182.00
19, 28.99, 183.00
22, 29.77, 185.00
24, 30.37, 182.00
20, 31.14, 185.00
23, 31.64, 184.00
29, 29.10, 183.00
25, 29.71, 185.00
30, 30.52, 185.00
28, 30.69, 185.00
26, 30.84, 185.00
27, 31.79, 182.00
