Seed, Runtime(s), ecmin
2, 17.72, 3594.00
3, 18.30, 3588.00
4, 18.62, 3588.00
1, 18.70, 3588.00
8, 18.73, 3588.00
5, 18.93, 3600.00
6, 19.25, 3585.00
7, 19.53, 3591.00
12, 20.36, 3594.00
10, 20.50, 3591.00
11, 20.58, 3591.00
9, 20.91, 3594.00
16, 20.03, 3591.00
14, 20.16, 3600.00
13, 20.27, 3591.00
15, 20.49, 3597.00
18, 19.85, 3591.00
20, 20.73, 3591.00
19, 20.77, 3594.00
17, 20.86, 3588.00
22, 19.31, 3594.00
24, 19.40, 3591.00
21, 19.45, 3591.00
23, 19.57, 3588.00
26, 19.34, 3591.00
28, 19.44, 3597.00
25, 19.39, 3594.00
27, 19.51, 3591.00
30, 16.16, 3585.00
29, 16.41, 3591.00
