Seed, Runtime(s), mecmin
2, 64.06, 23.00
1, 66.10, 23.00
3, 69.99, 23.00
4, 74.02, 23.00
5, 64.01, 24.00
6, 64.08, 23.00
8, 64.24, 23.00
7, 64.32, 24.00
11, 62.35, 23.00
12, 64.52, 23.00
10, 65.50, 23.00
9, 71.84, 23.00
13, 61.91, 23.00
16, 63.56, 22.00
14, 63.94, 24.00
15, 65.66, 23.00
18, 64.83, 23.00
20, 66.42, 23.00
17, 67.00, 23.00
19, 67.10, 23.00
21, 64.41, 23.00
23, 64.79, 23.00
22, 65.94, 23.00
24, 67.82, 23.00
27, 67.12, 23.00
28, 68.51, 23.00
25, 68.95, 23.00
26, 70.38, 23.00
29, 48.44, 23.00
30, 48.92, 23.00
