Seed, Runtime(s), melmax
1, 41.83, 182.00
4, 42.87, 180.00
3, 43.11, 179.00
2, 43.29, 179.00
5, 41.17, 182.00
7, 41.28, 183.00
6, 42.83, 182.00
8, 43.28, 184.00
9, 40.03, 179.00
10, 40.80, 179.00
12, 41.49, 179.00
11, 41.78, 178.00
15, 42.58, 179.00
13, 43.07, 182.00
16, 43.32, 184.00
14, 43.57, 182.00
18, 40.13, 178.00
19, 41.13, 180.00
17, 41.90, 182.00
20, 42.42, 182.00
24, 43.66, 180.00
22, 44.12, 178.00
23, 44.16, 183.00
21, 44.48, 181.00
27, 43.34, 178.00
25, 44.37, 181.00
26, 45.23, 178.00
28, 45.87, 181.00
29, 35.34, 178.00
30, 35.63, 182.00
