Seed, Runtime(s), ecmin
2, 114.18, 3384.00
3, 118.54, 3381.00
4, 119.86, 3378.00
1, 123.89, 3378.00
5, 120.59, 3384.00
6, 122.72, 3384.00
7, 122.76, 3381.00
8, 127.25, 3387.00
9, 113.25, 3381.00
10, 115.24, 3381.00
11, 122.38, 3381.00
12, 123.17, 3381.00
14, 110.92, 3378.00
16, 118.71, 3384.00
13, 119.76, 3384.00
15, 120.75, 3372.00
19, 115.56, 3384.00
20, 115.95, 3384.00
17, 117.33, 3384.00
18, 123.05, 3384.00
24, 118.56, 3381.00
23, 120.69, 3375.00
22, 122.55, 3381.00
21, 122.62, 3381.00
27, 115.07, 3381.00
28, 117.11, 3384.00
26, 118.85, 3384.00
25, 121.57, 3384.00
29, 80.91, 3381.00
30, 83.87, 3384.00
