Seed, Runtime(s), mecmin
4, 25.67, 84.00
2, 26.46, 80.00
3, 26.54, 84.00
1, 26.72, 74.00
6, 33.40, 78.00
8, 33.69, 86.00
5, 35.27, 71.00
7, 35.27, 74.00
9, 26.82, 86.00
12, 27.03, 81.00
11, 28.75, 78.00
10, 29.78, 78.00
15, 26.37, 78.00
16, 26.60, 81.00
13, 26.80, 83.00
14, 27.41, 83.00
17, 27.30, 75.00
19, 27.44, 78.00
18, 27.75, 77.00
20, 28.58, 75.00
21, 27.28, 87.00
24, 27.81, 72.00
22, 28.16, 78.00
23, 28.95, 77.00
25, 26.39, 86.00
27, 26.51, 83.00
26, 27.29, 84.00
28, 28.76, 72.00
30, 22.64, 84.00
29, 23.76, 90.00
