Seed, Runtime(s), melmax
4, 111.18, 302.00
1, 112.27, 300.00
3, 113.31, 301.00
2, 114.86, 301.00
8, 115.28, 304.00
6, 116.08, 302.00
5, 118.57, 305.00
7, 125.08, 304.00
11, 110.18, 305.00
10, 110.95, 301.00
12, 111.81, 300.00
9, 121.79, 300.00
13, 109.34, 303.00
15, 110.80, 300.00
14, 113.03, 304.00
16, 116.56, 305.00
20, 119.92, 302.00
18, 120.68, 301.00
19, 124.02, 301.00
17, 125.55, 304.00
23, 119.26, 302.00
24, 120.42, 304.00
22, 120.86, 302.00
21, 123.21, 303.00
25, 120.33, 305.00
28, 121.21, 304.00
27, 124.74, 303.00
26, 128.93, 305.00
29, 96.76, 304.00
30, 101.64, 304.00
