Seed, Runtime(s), mecmin
2, 97.41, 3378
1, 98.08, 3381
3, 100.46, 3384
4, 102.12, 3378
5, 103.68, 3381
6, 104.88, 3381
8, 92.48, 3384
7, 93.36, 3378
10, 95.64, 3381
9, 96.97, 3381
11, 94.14, 3381
12, 98.02, 3381
13, 92.51, 3384
14, 93.92, 3378
15, 92.60, 3378
16, 95.49, 3384
18, 104.72, 3375
17, 105.17, 3375
20, 93.72, 3384
19, 93.90, 3381
22, 96.87, 3384
21, 100.22, 3378
24, 93.51, 3381
23, 94.94, 3381
25, 96.91, 3381
26, 97.80, 3375
27, 94.35, 3378
28, 99.31, 3375
29, 105.12, 3381
30, 108.60, 3381
