Input, avgRuntime, mecat, best, worst, std
100 4 10, 7.30, 1108.50, 1095, 1131, 10.08
110 4 10, 8.28, 966.30, 948, 1005, 13.07
120 4 10, 8.04, 1297.00, 1284, 1317, 9.65
130 4 10, 11.00, 1061.20, 1032, 1179, 26.18
140 4 10, 8.87, 2090.00, 2079, 2106, 6.36
150 4 10, 12.11, 1623.30, 1593, 1662, 21.21
160 4 10, 13.64, 1570.70, 1524, 1605, 21.36
170 4 10, 13.91, 1963.80, 1938, 1989, 13.79
180 4 10, 17.67, 1611.80, 1548, 1758, 45.03
190 4 10, 13.76, 2553.90, 2511, 2598, 23.14
100 4 15, 6.72, 1007.10, 993, 1026, 6.35
110 4 15, 8.33, 932.10, 909, 966, 12.50
120 4 15, 8.56, 941.20, 924, 963, 10.71
130 4 15, 9.43, 1144.50, 1125, 1173, 13.45
140 4 15, 11.00, 1342.00, 1317, 1440, 23.99
150 4 15, 12.13, 1412.60, 1386, 1473, 19.27
160 4 15, 14.81, 1483.00, 1425, 1563, 30.44
170 4 15, 16.64, 1443.50, 1407, 1497, 20.14
180 4 15, 18.62, 1641.10, 1569, 1710, 39.18
190 4 15, 16.65, 1928.80, 1878, 2058, 37.91
100 4 20, 8.31, 668.80, 654, 687, 8.69
110 4 20, 10.17, 822.30, 798, 849, 14.38
120 4 20, 10.96, 855.80, 834, 891, 16.06
130 4 20, 12.93, 1039.00, 1002, 1122, 24.56
140 4 20, 13.79, 1009.90, 966, 1053, 24.51
150 4 20, 16.65, 1169.10, 1110, 1215, 24.86
160 4 20, 18.72, 1273.90, 1182, 1359, 39.42
170 4 20, 21.13, 1299.10, 1245, 1380, 27.42
180 4 20, 23.22, 1481.70, 1431, 1548, 31.60
190 4 20, 20.96, 1525.70, 1452, 1635, 45.72
