Input, avgRuntime, mecat, best, worst, std
100 4 10, 7.02, 713.40, 699, 738, 9.91
110 4 10, 8.61, 893.40, 876, 918, 11.12
120 4 10, 10.11, 853.50, 828, 936, 21.54
130 4 10, 12.11, 946.30, 915, 987, 19.61
140 4 10, 13.59, 1039.10, 993, 1104, 29.46
150 4 10, 14.95, 1157.10, 1119, 1233, 25.35
160 4 10, 16.98, 1258.80, 1164, 1347, 42.37
170 4 10, 19.30, 1299.40, 1200, 1389, 44.03
180 4 10, 20.71, 1411.50, 1347, 1500, 34.65
190 4 10, 23.86, 1575.00, 1464, 1728, 56.43
100 4 15, 11.44, 567.20, 549, 594, 11.71
110 4 15, 12.98, 627.10, 606, 654, 11.72
120 4 15, 16.08, 668.00, 639, 723, 18.48
130 4 15, 18.18, 774.10, 732, 834, 21.42
140 4 15, 22.02, 879.50, 831, 990, 37.59
150 4 15, 25.28, 986.40, 933, 1125, 38.95
160 4 15, 27.76, 1047.50, 960, 1092, 33.72
170 4 15, 32.44, 1110.20, 1044, 1206, 40.31
180 4 15, 33.73, 1239.60, 1122, 1416, 62.47
190 4 15, 40.68, 1370.80, 1278, 1485, 45.10
100 4 20, 15.62, 497.30, 465, 534, 16.46
110 4 20, 18.29, 597.50, 558, 651, 19.41
120 4 20, 22.42, 638.00, 600, 702, 25.22
130 4 20, 28.15, 765.30, 723, 828, 27.90
140 4 20, 30.15, 862.30, 801, 960, 35.19
150 4 20, 37.18, 898.00, 819, 966, 34.36
160 4 20, 40.27, 1014.20, 945, 1089, 36.98
170 4 20, 46.76, 1056.10, 960, 1140, 50.73
180 4 20, 55.36, 1220.10, 1089, 1314, 58.21
190 4 20, 53.35, 1330.50, 1221, 1458, 64.49
